locus_tag	IF(rnaseq_ratio < 1.0, -1.0/rnaseq_ratio, rnaseq_ratio)	rnaseq_pvalue	IF(proteomics_ratio < 1.0, -1.0/proteomics_ratio, proteomics_ratio)	proteomics_pvalue
Mmol_0001	1.03771875489907	0.889102846036843	-9.10022990444952	0.16268
Mmol_0002	1.706404357223	0.440940298305558	1.30125071353704	0.0717294
Mmol_0003	-1.23492750726767	0.410723733802936	-3.10148230998525	0.000101475
Mmol_0004	-2.92855985591721	0.327106179303322	2.57729285329721	0.553755
Mmol_0005	-6.08490363027382	0.409748073534241	NULL	0
Mmol_0006	-3.47552392764225	0.466322206702679	-2.4316752039387	0.246604
Mmol_0007	-7.35934433200399	0.394467423807155	NULL	0
Mmol_0008	-2.51798228577474	0.54700318706172	NULL	0
Mmol_0009	1.35067866622916	0.72348832589671	NULL	0
Mmol_0010	2.76575366935956	0.30264613598179	3.95973320500709	0.00137193
Mmol_0011	2.42253291423767	0.126091254905916	NULL	0
Mmol_0012	1.59399463735345	0.152031606013329	NULL	0
Mmol_0013	1.02830302993432	0.96567645740301	-5.97365001402274	0.0106897
Mmol_0014	3.78076369269855	0.167963499294934	NULL	0
Mmol_0015	2.35097525209583	0.0308727321923567	NULL	0
Mmol_0016	1.30969676421819	0.709401256100861	NULL	0
Mmol_0017	1.305306152877	0.508251680410497	NULL	0
Mmol_0018	1.58042538164509	0.308924670195382	2.85172349789658	0.0132555
Mmol_0019	-1.35708365341565	0.649612177340764	NULL	0
Mmol_0020	-1.25558658840612	0.603558665497473	NULL	0
Mmol_0021	-1.50883732714754	0.591515763982789	NULL	0
Mmol_0022	1.11755739130015	0.678347491972297	NULL	0
Mmol_0023	-1.44901718685606	0.377025045554794	NULL	0
Mmol_0024	-3.11432037211837	0.0518925002599529	-2.89299714168957	0.000410417
Mmol_0025	2.20659899882593	0.595607734490932	NULL	0
Mmol_0026	2.5773470057162	0.430909086195382	NULL	0
Mmol_0027	2.16158004176411	0.37207390710896	-2.13805067615296	0.00934578
Mmol_0028	-1.12780792350729	0.690776989830955	NULL	0
Mmol_0029	2.24322500682	0.214356693395934	-1.37922517051364	0.000385156
Mmol_0030	2.47785762814254	0.0329190171428256	NULL	0
Mmol_0031	1.33532872127697	0.479416976768901	-3.89447691184511	0.0282134
Mmol_0032	-3.16328192126614	0.167272809213905	-6.51379696170334	0.00293478
Mmol_0033	3.10469401233757	0.0780809078662286	10.8401320893075	0.264826
Mmol_0034	1.24280911081779	0.340880218670102	2.96218194161055	0.00567047
Mmol_0035	-1.05089103906786	0.909264075150562	-3.50476586799762	0.000104609
Mmol_0036	3.43440450586856	0.0795032762052668	NULL	0
Mmol_0037	1.02672368110099	0.943631816026436	-1.14866534306734	0.151975
Mmol_0038	5.48807760842755	0.146513051711476	17.5144381743837	0.030416
Mmol_0039	5.17005501277493	0.132978745676901	3.57126200199127	0.462776
Mmol_0040	6.12824312040727	0.00862878321550296	NULL	0
Mmol_0041	1.18203259974339	0.470986046452856	NULL	0
Mmol_0042	2.46141033301938	0.0628829331724665	NULL	0
Mmol_0043	-1.14596262484689	0.352885816987691	NULL	0
Mmol_0044	-2.61891204180968	0.0626905464008015	-1.18455419570475	0.369155
Mmol_0045	-1.06186007545052	0.93797472304508	-2.65852558220991	0.0418301
Mmol_0046	1.14349914345529	0.830505820276902	3.67601430671428	0.000507235
Mmol_0047	-1.73169632934391	0.441421969189079	NULL	0
Mmol_0048	2.45515672604911	0.0824853753852856	3.7778619298051	0.00333427
Mmol_0049	1.73220902073186	0.264766485845205	-6.19821690211377	0.0594824
Mmol_0050	1.29771485232136	0.568910413540065	-8.44113647284686	0.101057
Mmol_0051	1.32687190958154	0.772956030901873	-1.17871564335758	0.455122
Mmol_0052	-3.66307022081183	0.174415497560302	NULL	0
Mmol_0053	1.0220036944268	0.866668349187759	NULL	0
Mmol_0054	2.49304343391907	0.237277932509661	NULL	0
Mmol_0055	2.58276329107012	0.574498416168744	NULL	0
Mmol_0056	4.41205598976065	0.478311631468091	NULL	0
Mmol_0057	1.56710245733758	0.580679036491705	NULL	0
Mmol_0058	5.80029277348481	0.489011648557536	1.14536410307982	0.0720023
Mmol_0059	3.78099050712422	0.396018886038629	NULL	0
Mmol_0060	2.1016072630311	0.105138651765537	NULL	0
Mmol_0061	2.06467136551649	0.188337404490369	NULL	0
Mmol_0062	1.12779501814427	0.714326951394061	NULL	0
Mmol_0063	-1.5619793637434	0.332714238142901	NULL	0
Mmol_0064	-1.30076618846729	0.758403999342722	NULL	0
Mmol_0065	1.2378900820861	0.606505743661336	NULL	0
Mmol_0066	1.46584369292601	0.426539880499608	NULL	0
Mmol_0067	-1.30688131509828	0.726761860373014	NULL	0
Mmol_0068	1.75003219011522	0.62747181496187	NULL	0
Mmol_0069	1.07585424312577	0.744529464245522	1.0752565307363	0.794799
Mmol_0070	1.95152170377345	0.206797249795043	NULL	0
Mmol_0071	1.80276237732405	0.134781881660943	NULL	0
Mmol_0072	1.61032941585623	0.149952649861601	NULL	0
Mmol_0073	1.93596212293651	0.0390462845129067	NULL	0
Mmol_0074	2.39557527653717	0.421553057610674	NULL	0
Mmol_0075	1.00646646510179	0.988928775126044	-13.6556643949935	0.128624
Mmol_0076	-1.65032066187675	0.504887648979199	NULL	0
Mmol_0077	4.93101406966499	0.341855736300649	NULL	0
Mmol_0078	1.14730899356704	0.798820801842885	NULL	0
Mmol_0079	9.68263382528212	0.300920396340497	NULL	0
Mmol_0080	-1.15936500775795	0.831907264391957	NULL	0
Mmol_0082	1.3307613803209	0.711866373650487	NULL	0
Mmol_0083	1.47341985753965	0.60647834579493	NULL	0
Mmol_0084	-1.49488604318263	0.340408568890817	NULL	0
Mmol_0085	10.260303583065	0.103208337811128	NULL	0
Mmol_0086	8.86897521766643	0.401125676464892	NULL	0
Mmol_0087	1.95308685015896	0.575608319736364	NULL	0
Mmol_0088	-1.06547488131418	0.84001555407665	NULL	0
Mmol_0089	1.92359740693142	0.280569595497084	NULL	0
Mmol_0090	1.27568935377768	0.452675609464751	NULL	0
Mmol_0091	1.07222615321248	0.862210233621308	NULL	0
Mmol_0092	-2.19887581784038	0.0606179578384653	NULL	0
Mmol_0093	-1.41003702985346	0.161791767119493	NULL	0
Mmol_0094	1.3703100864433	0.299874795762103	NULL	0
Mmol_0095	2.47166144046208	0.167142113958635	5.11030773782181	0.000480533
Mmol_0096	3.00249777964895	0.00425842665046959	9.63719673156738	0.0301712
Mmol_0097	1.66076819681538	0.0828595753477244	3.45412584889874	0.036952
Mmol_0098	1.12247113603084	0.881780314430924	NULL	0
Mmol_0099	5.04137780903284	0.0192419057300626	NULL	0
Mmol_0100	5.72462757393349	0.224883011026936	NULL	0
Mmol_0101	1.98604913921466	0.495265398791575	NULL	0
Mmol_0102	3.71548076443874	0.0156541893275968	NULL	0
Mmol_0103	4.83688543569228	0.283159911865977	NULL	0
Mmol_0104	2.15221525159298	0.10845661839029	NULL	0
Mmol_0105	1.05664463103415	0.941696354209862	NULL	0
Mmol_0106	2.13187238136687	0.230829361755452	NULL	0
Mmol_0107	1.13893854687933	0.582491528162051	NULL	0
Mmol_0108	2.52578478681156	0.019876161592848	NULL	0
Mmol_0109	1.19842053693979	0.729812555665281	NULL	0
Mmol_0110	5.77029325875161	0.328487790169526	NULL	0
Mmol_0111	4.13169235008746	0.438115345507584	NULL	0
Mmol_0112	4.58137314937985	0.0406490142028104	NULL	0
Mmol_0113	2.11099482148834	0.371377232182707	NULL	0
Mmol_0114	-1.24652077112377	0.775807128902483	-1.01792300337179	0.868002
Mmol_0115	5.53966964836618	0.472062252635619	NULL	0
Mmol_0116	3.39998259862529	0.455129170976494	NULL	0
Mmol_0117	-1.37821546495437	0.281852411030897	NULL	0
Mmol_0118	-1.01909895173619	0.969359165502106	-5.03062820972834	6.67e-05
Mmol_0119	1.21478686740857	0.595281242502171	NULL	0
Mmol_0120	-1.04560431442512	0.890435387122675	-5.05358656478591	0.00774929
Mmol_0121	1.22063178577806	0.763724026561435	4.71658805315239	0.00999561
Mmol_R0001	-1.27999787542198	0.800650166081974	NULL	NULL
Mmol_0122	4.65914277974928	0.364154121099614	NULL	0
Mmol_0123	1.16229659485773	0.582316845961523	NULL	0
Mmol_0124	1.966538532427	0.168202332907047	NULL	0
Mmol_0125	1.5946814194821	0.574233343990842	1.37783297979492	0.00367255
Mmol_0126	-1.5990830477493	0.285905564170913	-23.4991294302836	0.0379306
Mmol_0127	-4.42852458647118	0.0420440862356453	-13.4126805393751	0.00319387
Mmol_0128	-2.43128691591776	0.265138684625704	-3.05975536950558	0.089256
